block_id,trans_id,block_time,activity_type,from_address,to_address,token_address,token_decimals,amount,flow,value
260990214,3fFuNaLYFXSCJ1oqMNhxjaw7GUD4m5Ytp7SxP1XihQJZRHq9NHPL7EQwiAfizPnLyK2dHga3N2d1mUVnsYUjrQ52,1713505471,ACTIVITY_SPL_TRANSFER,2DJ5ZiTg471RT14GL7Cea97diQBBbAQW94sCSExYKh6g,8QAG8Zjv8xYdog8QRmiC3WcK9z3bC2fKREqVojuksvPT,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,1499000000,in,0
260986846,4YBVKq3i2s4Ss8tdcPu7JRswfRmuBgsxmbKzZsPKJH6Sz3WPQ2c6KabyPmH9zqX2E5cq1HFh42HpZaCwZBtM6CPV,1713503893,ACTIVITY_SPL_TRANSFER,2DJ5ZiTg471RT14GL7Cea97diQBBbAQW94sCSExYKh6g,8QAG8Zjv8xYdog8QRmiC3WcK9z3bC2fKREqVojuksvPT,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,1499000000,in,0
260852615,FckDfznMPEUF4FRTCYd8RZGvgHqzGc8wC9ogA35MdVePpXrKzLYqBVxRkkB2Acroz4mkizhJnZHqMvdG9aiNB3q,1713444155,ACTIVITY_SPL_TRANSFER,3nDeeLAYfCs6w7LiXQsoFQMyDnUmTk11YTHQ2mw1ytZy,8QAG8Zjv8xYdog8QRmiC3WcK9z3bC2fKREqVojuksvPT,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,1499000000,in,0
260801173,5K5pbovksLaUF5CH5fgpM4FXMBRkQ3fPsA94pW2mf95fE7TSLkTr6HA4fwYu7Rcb7xJYVif1Kiv9PTrUKWUHt7hA,1713421965,ACTIVITY_SPL_TRANSFER,2DJ5ZiTg471RT14GL7Cea97diQBBbAQW94sCSExYKh6g,8QAG8Zjv8xYdog8QRmiC3WcK9z3bC2fKREqVojuksvPT,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,1499000000,in,0
260800720,Q8Wj94vLS7sL2a5aGRnPhx1DkA1NbprZR2oRKads8rs1i8UCxQYvRoWXz76VF8qYCJAebzyMHp19VXS6pRNEB15,1713421765,ACTIVITY_SPL_TRANSFER,2DJ5ZiTg471RT14GL7Cea97diQBBbAQW94sCSExYKh6g,8QAG8Zjv8xYdog8QRmiC3WcK9z3bC2fKREqVojuksvPT,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,1499000000,in,0
260800670,3Dxw41VnTQqgPKNXZXnxKUbfefCrsSHf2N28aCsUtPruaLxozqmdMUrRwxKFX6ERhs9AkU6hYA9cTJQm86wPQLDf,1713421744,ACTIVITY_SPL_TRANSFER,2DJ5ZiTg471RT14GL7Cea97diQBBbAQW94sCSExYKh6g,8QAG8Zjv8xYdog8QRmiC3WcK9z3bC2fKREqVojuksvPT,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,1499000000,in,0
260800322,22Ff3BExxbjM3ewAaaqTUdEcvq6xXjszpGti4E4hZVG2TH5n8MKkM4r9oCgZa1ZFpn4CXdnFopn4kGB3j5hLWnTV,1713421594,ACTIVITY_SPL_TRANSFER,2DJ5ZiTg471RT14GL7Cea97diQBBbAQW94sCSExYKh6g,8QAG8Zjv8xYdog8QRmiC3WcK9z3bC2fKREqVojuksvPT,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,1499000000,in,0
260799801,5jCPCkYpozWgc3aPtox8CNdHkQzgYYgzwLnem2iCqYNK2Qi87wzpbNe3jkkbGapm1unVmCuHrwvUs4tQtub9UnYp,1713421374,ACTIVITY_SPL_TRANSFER,2DJ5ZiTg471RT14GL7Cea97diQBBbAQW94sCSExYKh6g,8QAG8Zjv8xYdog8QRmiC3WcK9z3bC2fKREqVojuksvPT,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,1499000000,in,0
260799573,2mSMKjFMjGhNxdJaKzacD1G4MsJq92khiozn548JFgBpT2ZUx58r18CtiNyEXqGnrhku8VX3TZFQVrqVpyDNJvjX,1713421273,ACTIVITY_SPL_TRANSFER,2DJ5ZiTg471RT14GL7Cea97diQBBbAQW94sCSExYKh6g,8QAG8Zjv8xYdog8QRmiC3WcK9z3bC2fKREqVojuksvPT,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,1499000000,in,0
260605939,2NmVVHs8orGWSgwuZnSHWPGtqakg4d2r6d1snnZ3WGjaBk8SxpCsicZ8aUiRwFpETvJ44dVZYr5aKPZSYexVka8q,1713336526,ACTIVITY_SPL_TRANSFER,8QAG8Zjv8xYdog8QRmiC3WcK9z3bC2fKREqVojuksvPT,zcTEyCVwoiPR5pZHcuzR5nxaoYpscj66SkHJKAAub7J,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,2998000000,out,0
260446615,4vvUpxHgFQsKceaUdzS4ba13zSdiVpzdWjYJgY22Yv1gFpwnGeyCUJKjGuuqmLj1nWXKCPQuhkAN8YuNeEREgcib,1713266248,ACTIVITY_SPL_TRANSFER,CT5r39rNoPXiWAomR1SodsYqswCp424UYv6kK7wbk5ox,8QAG8Zjv8xYdog8QRmiC3WcK9z3bC2fKREqVojuksvPT,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,1499000000,in,0
259914448,2czRMXAjuWmNvjuuFortytt6KXNCvpGLUXsLpX7rg4h7ExDahXgTUpA9y2g5cbs4Z56AWPQhKFjmExKSLWiVm6nY,1713020563,ACTIVITY_SPL_TRANSFER,3nDeeLAYfCs6w7LiXQsoFQMyDnUmTk11YTHQ2mw1ytZy,8QAG8Zjv8xYdog8QRmiC3WcK9z3bC2fKREqVojuksvPT,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,1499000000,in,0
259780321,1TpjGu3HXKWddctCivV7jE66SY5X89Hr2YDgjFGscMcM315ZkzRZiPMJ31dgxLCCycMeEb43ANEe47nTSGUcZb6,1712956843,ACTIVITY_SPL_TRANSFER,8QAG8Zjv8xYdog8QRmiC3WcK9z3bC2fKREqVojuksvPT,zcTEyCVwoiPR5pZHcuzR5nxaoYpscj66SkHJKAAub7J,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,0,out,0
259732436,3Hj1epcoTXotv4e3wAHRU93MthNZ8PT4KtB5FhF6nyE2i7imCMCWaxpAh68kLhwwDJeox3ierdQCkNy9JvKxxg3D,1712933761,ACTIVITY_SPL_TRANSFER,8QAG8Zjv8xYdog8QRmiC3WcK9z3bC2fKREqVojuksvPT,zcTEyCVwoiPR5pZHcuzR5nxaoYpscj66SkHJKAAub7J,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,5996000000,out,0
